,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,Procurement Tracking Number
277,DOT,PHMSA - Washington DC Office,,"NPMS O&M, Development, GIS Data analysis","Support for PHMSA's National Pipeline Mapping System (NPMS)-- GIS Data Processing, Analysis, Operations, Maintenance & Development. ***Pursuant to US DOT Acquisition Directive, PHMSA plans to compete this requirement on the US DOT, Mandatory-Use Blanket Purchase Agreement named Software Engineering Support Services (SWES). To obtain a list of SWES vendors/contractors, please send an email to mahua.mazumdar@dot.gov. PHMSA will be issuing an RFI to the SWES vendor pool soon for information and planning purposes.

***The above NAICS code is the ANTICIPATED value.  The actual NAICS code at the time of award may be different.  Because of template limitation, other applicable NAICS codes could not be included.***

 ",541511,$20 million to $50 million,"Michael Baker, New Century Software, Niyam IT.",Small Business Set-Aside,1st QTR,,
285,DOT,FTA - Washington DC Office,,,"The Federal Transit Administration (FTA) which is an Operating Administration within the United States (U.S.) Department of Transportation (DOT) is seeking contractor support to perform safety oversight activities of State Safety Oversight (SSO) programs.  The Office of Safety Review which is part of FTA’s Office of Transit Safety and Oversight (TSO) is responsible for safety oversight of SSO agencies as required by federal transportation law (49 $U.S.C. 5329) (2017).  The Office of Safety Review conduct audits of SSO agencies, collect data from SSO agencies and Rail Transit Agencies (RTA), conduct additional oversight activities at SSOAs and RTAs as necessary, and certify new SSOAs per the requirements of 49 Code of Federal Regulation (CFR) Part 674.19.  Contractor support is sought concerning tasks such as analyzing data from existing sources, conducting audits, investigations, audits, examinations, and testing of equipment, facilities, rolling stock, and operations of RTAs",541611,$10 million to $20 million,,Small Business Set-Aside,1st QTR,,
317,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,National Performance Management Research Data Set (NPMRDS) – acquire the rights to travel time data for the National Highway System for FHWA use and for State DOT and MPO use in performance management activites.,541990,,,Full and Open,1st QTR,,
338,DOT,FTA - Washington DC Office,,,"Accounting and Financial Analysis: Financial Services BPA: Activities may include, but are not limited to: reconciliation and determination of the extent of improper payments for the FTA program funds;  assistance with mandates issued by the Department’s Chief Financial Officer for the development of procedures; support for the maintenance and validation of an accrual process to be combined with the preparation of the financial statements; budget formulation and execution; managerial cost accounting; analysis of business processes and practices to maximize efficiencies; analysis of Transit Formula Grants apportionment factors; conducting research and analysis of subsidiary transaction ledgers, general ledger accounts, and supporting grants management and data systems; provision of technical training; preparation of budget schedules and requests; development of multimedia presentations; and provision of program management for specific system development and improvement projects.",541611,,,Follow-on action,1st QTR,,
349,DOT,FTA - Washington DC Office,,,"The Government is seeking contractor support to assist with delivering a comprehensive compliance audit program of transit providers and contractors receiving federal financial assistance under 49 U.S.C. 5307, 5309, or 5311.  The contractor will assist the Government with providing quality auditing services, audit selection, auditor team training, transit grantee training, and technical assistance to support the drug and alcohol testing compliance audit program.",541611,,,Small Business Set-Aside,1st QTR,,40
361,DOT,FTA - Washington DC Office,,,"Accounting and Financial Analysis: Financial Services BPA: Activities may include, but are not limited to: reconciliation and determination of the extent of improper payments for the FTA program funds;  assistance with mandates issued by the Department’s Chief Financial Officer for the development of procedures; support for the maintenance and validation of an accrual process to be combined with the preparation of the financial statements; budget formulation and execution; managerial cost accounting; analysis of business processes and practices to maximize efficiencies; analysis of Transit Formula Grants apportionment factors; conducting research and analysis of subsidiary transaction ledgers, general ledger accounts, and supporting grants management and data systems; provision of technical training; preparation of budget schedules and requests; development of multimedia presentations; and provision of program management for specific system development and improvement projects.",541611,,,Follow-on action,1st QTR,,TBP
385,DOT,"PHMSA - Washington, DC (Headquarters)",,,"Data Support Services:

Contractor shall provide the Department of Transportation (DOT) Pipeline and Hazardous Materials Safety Administration (PHMSA) with Data Support Services across a wide range of activities.  PHMSA/DOT requires contractor support to sustain ongoing data collection activities; as well as improve data management, analysis and reporting processes across the administration.",541990,$5 million to $10 million,,8(a) non-competitive,1st QTR,,
387,DOT,FTA - Washington DC Office,,,"FTA’s Financial Management Oversight Program:  Professional CPA firms to provide professional financial advisory services for the FMO program as authorized by 49 U.S.C. 5327(c) to selected grantees’ (transit agencies) financial management systems.    Contractor shall provide expertise to assist with the conducting of FMO reviews and assessments, including: (Full scope Financial management System Reviews; (2) followup to Full Scope Financial Management System Reviews; (3) Cost Allocation Plan reviews (CAP reviews); and (4) other Agreed-Upon Procedures.  Other tasks include Updating Financial Management Oversight Resource Manual, FMO training, and program reports.",541211,,,Full and Open,1st QTR,,TSO
413,DOT,OST - Washington DC Office,,,"Provide experienced resources to support the Office of Airline Information's efforts to meet mission requirements in: airline reporting compliance and analysis; airline reporting guideline development and issuance; airline data collection coordination; airline data reporting and product development; airline statistics analysis, publication, dissemination and accessibility.",541611,,,8(a) Competitive,1st QTR,,OST BTS-02
423,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"IDIQ to include the following tasks: A)POLICY ANALYSIS OF REVENUE AND FINANCE ALTERNATIVES, TRANSPORTATION SYSTEM CONDITIONS, DEMOGRAPHICS AND TRAVEL, AND FUTURE POLICY DIRECTIONS, B) ANALYSIS OF THE IMPACT OF INVESTMENT ON TRANSPORTATION PERFORMANCE AND THE ECONOMY, C) SUPPORT FOR THE AGENCY’S STRATEGIC MANAGEMENT PROCESSES, D) TRANSPORTATION DATA ACQUISITION/ MANAGEMENT/ANALYSIS AND TRANSPORATION DEMAND MODELING , E) INTERGOVERNMENTAL POLICY ANALYSIS and, F) INTERNATIONAL TRANSPORTATION POLICY AND TECHNOLOGY TRANSFER",541611,$20 million to $50 million,,Full and Open,1st QTR,,2020-256
440,DOT,OST - Washington DC Office,,,Provide RITA with a Geospatial Database manager to manage all of the geospatial data holdings for the Bureau of Transportation Statistics.,541611,,,8(a) non-competitive,1st QTR,,OST BTS-03
470,DOT,"PHMSA - Washington, DC (Headquarters)",,,"Professional Support Services to include but not limited to:PROGRAM MANAGERDutiesDuties of the Program Manager include, but are not limited to:Planning and coordinating the activities of the assigned Contractor employees;Establishing employee schedules and coordinating priorities;Assisting in providing replacement personnel;Conducting meetings once a month with COR(s) to discuss project activities, schedules, workloads, potential problems and their resolution;Assisting all other assigned Contractor staff to accomplish their duties in work overload situations;Ensuring that Contractor staff has the knowledge and ability necessary to accomplish their duties independently.PROJECT COORDINATOR IIDutiesDuties of the Project Coordinator include, but are not limited to:Reviewing work product and ensuring contractor staff have the knowledge and ability necessary to accomplish their duties independently;Assisting contractor staff in accomplishing their duties in work overload situations;Providing conference, seminar, and meeting support.PROJECT COORDINATOR IDutiesDuties of the Associate Program Coordinator include, but are not limited to:Serving as a facilitator and coordinator;Overseeing the timely and effective response to requests and assignments;Assuring that assessments and initiatives are included into all reports, documents, memos, and correspondence in a timely fashion and that those documents are appropriately reviewed and coordinated with PHMSA program offices as appropriate;Assisting in the timely and accurate completion of requests;Reviewing, writing, and editing time-sensitive documentation for PHMSA leadership; andKeeping up-to-date on the operational processes and workflow within PHMSA.PROGRAM ANALYST IIIDescription: Provide program support functions to include attending meetings with potential and existing customers, analyzing customer program needs, accessing program performance and objectives, developing key timelines and schedules, executing on program tasks, and managing projects.PROGRAM ANALYST IIDescription: Provide program support functions to include attending meetings with potential and existing customers, analyzing customer program needs, accessing program performance and objectives, executing on program tasks, and managing projects.PROGRAM ANALYST IDescription: Provide program support functions to include attending meetings with potential and existing customers, analyzing customer program needs, accessing program performance and objectives, and executing on program tasks.PROGRAM ASSISTANTDutiesDuties of the Program Assistant include, but are not limited to:Thoroughly reviewing all documents for clarity, grammatical, and typographical accuracy before the approver gives a final signature;Establishes due dates for the program offices to develop direct correspondence replies by estimating the urgency of each request and the time required to collect technical information, draft a response, and obtain approvals;Provides feedback and guidance to executive and senior level staff to ensure processes and procedures are followed appropriately by contract and federal staff;Develops recommendations for improving correspondence management operations;Prepares and provides weekly briefing updates to leadership on the current status of all correspondence, which includes documents from congressional and policy members as well as concerned United States citizens;Serves as a liaison and single point of contact for questions concerning the correspondence approval process; andFacilitates weekly reports.SENIOR BUDGET ANALYSTDuties: Within defined objectives and with considerable latitude, performs in a professional position supporting highly complex financial management efforts by performing/leading financial planning, budget formulation, budget execution, budget monitoring, managerial cost accounting, financial analysis, financial management systems, financial risk analysis, other financial reporting, management controls, financial oversight of agency activities, performance measurement, activity-based cost management support, management and internal control reviews, improving agency financial management processes and systems on a continuous basis, and any other type of financial consulting and technical assistance that is deemed to be necessary by the Chief Financial Officer, senior financial managers, or senior program managers. Develops and/or reviews study plans and monitors/reports project status. BUDGET ANALYST IIIDescription: Reviews expenditures and prepares operating budgets for various departments to ensure conformance to budgetary limits.BUDGET ANALYST IIDescription: Reviews expenditures and prepares operating budgets for various departments to ensure conformance to budgetary limits.BUDGET ANALYST IDescription: Reviews expenditures and prepares operating budgets for various departments to ensure conformance to budgetary limits.",541611,,,8(a) Competitive,1st QTR,,
